Variable,Table,Key,Dataset,MMRF Variable Name,Description,HIPAA or Other Identified Data,Data Type,MMRF Values,CoMMpass Note,caDSR,Data Standard,CoMMpass Source Table Variable,CoMMpass Subcohort,Additional Information,Constraint,GDC Variable,GDC Values,GDC Required,,
55,qol,no,commpass,qlq_my20_15,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had acid indigestion or heartburn?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q45,one,,,not applicable,not applicable,not applicable,,
56,qol,no,commpass,qlq_my20_16,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had burning or sore eyes?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q46,one,,,not applicable,not applicable,not applicable,,
57,qol,no,commpass,qlq_my20_17,Item from the Body Image item of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you felt physically less attractive as a result of your disease or treatment?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q47,one,,,not applicable,not applicable,not applicable,,
58,qol,no,commpass,qlq_my20_18,Item from the Future Perspective scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you been thinking about your illness?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q48,one,,,not applicable,not applicable,not applicable,,
59,qol,no,commpass,qlq_my20_19,Item from the Future Perspective scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you been worried about dying?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q49,one,,,not applicable,not applicable,not applicable,,
60,qol,no,commpass,qlq_my20_20,Item from the Future Perspective Scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you worried about your health in the future?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q50,one,,,not applicable,not applicable,not applicable,,
61,qol,no,commpass,mean_physical_functioning,Derived data: Mean of Physical Functioning Questions using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mPF2,one,,,not applicable,not applicable,not applicable,,
62,qol,no,commpass,physical_functioning,Derived data: Physical Functioning using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_PF2,one,,,not applicable,not applicable,not applicable,,
63,qol,no,commpass,mean_role_functioning,Derived data: Mean of Role Functioning using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mRF2,one,,,not applicable,not applicable,not applicable,,
64,qol,no,commpass,role_functioning,Derived data: Role Functioning using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_RF2,one,,,not applicable,not applicable,not applicable,,
65,qol,no,commpass,mean_emotional_functioning,Derived data: Mean of Emotional Functioning using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mEF,one,,,not applicable,not applicable,not applicable,,
66,qol,no,commpass,emotional_functioning,Derived data: Emotional Functioning using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_EF,one,,,not applicable,not applicable,not applicable,,
67,qol,no,commpass,mean_cognitive_functioning,Derived data: Mean of Cognitive Functioning using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mCF,one,,,not applicable,not applicable,not applicable,,
68,qol,no,commpass,cognitive_functioning,Derived data: Cognitive Functioning using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_CF,one,,,not applicable,not applicable,not applicable,,
69,qol,no,commpass,mean_social_functioning,Derived data: Mean of Social Functioning  using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mSF,one,,,not applicable,not applicable,not applicable,,
70,qol,no,commpass,social_functioning,Derived data: Social Functioning using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_SF,one,,,not applicable,not applicable,not applicable,,
71,qol,no,commpass,mean_future_perspective,Derived data: Mean of Future Perspective  using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mMYFP,one,,,not applicable,not applicable,not applicable,,
72,qol,no,commpass,future_perspective,Derived data: Future Perspective using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_MYFP,one,,,not applicable,not applicable,not applicable,,
73,qol,no,commpass,mean_body_image,Derived data: Mean of Body image  using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mMYBI,one,,,not applicable,not applicable,not applicable,,
74,qol,no,commpass,body_image,Derived data: Body Image using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_MYBI,one,,,not applicable,not applicable,not applicable,,
75,qol,no,commpass,mean_ql2,Derived data: Mean of QL2  using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mQL2,one,,,not applicable,not applicable,not applicable,,
76,qol,no,commpass,global_health_status_qol,Derived data: Global Health Status - QOL using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_QL2,one,,,not applicable,not applicable,not applicable,,
77,qol,no,commpass,mean_fatigue,Derived data: Mean of Fatigue  using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mFA,one,,,not applicable,not applicable,not applicable,,
78,qol,no,commpass,fatigue,Derived data: Fatigue using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_FA,one,,,not applicable,not applicable,not applicable,,
79,qol,no,commpass,mean_nausea_and_vomiting,Derived data: Mean of Nausea and Vomiting  using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mNV,one,,,not applicable,not applicable,not applicable,,
80,qol,no,commpass,nausea_and_vomiting,Derived data: Nausea and vomiting using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_NV,one,,,not applicable,not applicable,not applicable,,
81,qol,no,commpass,mean_pain,Derived data: Mean of Pain  using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mPA,one,,,not applicable,not applicable,not applicable,,
82,qol,no,commpass,pain,Derived data: Pain using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_PA,one,,,not applicable,not applicable,not applicable,,
83,qol,no,commpass,mean_dyspnea,Derived data: Mean of Dyspnea using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mDY,one,,,not applicable,not applicable,not applicable,,
84,qol,no,commpass,dyspnea,Derived data: Dyspnea using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_DY,one,,,not applicable,not applicable,not applicable,,
85,qol,no,commpass,mean_insomnia,Derived data: Mean of Insomnia using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mSL,one,,,not applicable,not applicable,not applicable,,
86,qol,no,commpass,insomnia,Derived data: Insomnia using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_SL,one,,,not applicable,not applicable,not applicable,,
87,qol,no,commpass,mean_appetite_loss,Derived data: Mean of Appetite Loss using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mAP,one,,,not applicable,not applicable,not applicable,,
88,qol,no,commpass,appetite_loss,Derived data: Appetite Loss using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_AP,one,,,not applicable,not applicable,not applicable,,
89,qol,no,commpass,mean_appetite_loss,Derived data: Mean of Constipation Questions,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mCO,one,,,not applicable,not applicable,not applicable,,
90,qol,no,commpass,constipation,Derived data: Constipation using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_CO,one,,,not applicable,not applicable,not applicable,,
91,qol,no,commpass,mean_diarrhea,Derived data: Mean of Diarrhea using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mDI,one,,,not applicable,not applicable,not applicable,,
92,qol,no,commpass,diarrhea,Derived data: Diarrhea using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_DI,one,,,not applicable,not applicable,not applicable,,
93,qol,no,commpass,mean_financial_difficulties,Derived data: Mean of Financial Difficulties using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mFI,one,,,not applicable,not applicable,not applicable,,
94,qol,no,commpass,financial_difficulties,Derived data: Financial Difficulties using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_FI,one,,,not applicable,not applicable,not applicable,,
95,qol,no,commpass,mean_disease_symptoms,Derived data: Mean of Disease Symptoms using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mMYDS,one,,,not applicable,not applicable,not applicable,,
96,qol,no,commpass,disease_symptoms,Derived data: Disease Symptoms using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_MYDS,one,,,not applicable,not applicable,not applicable,,
97,qol,no,commpass,mean_side_effects_treatment,Derived data: Mean of Side Effects of Treatment  using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_mMYSE,one,,,not applicable,not applicable,not applicable,,
98,qol,no,commpass,side_effects_treatment,Derived data: Side effects of treatment using subcomponent items; see quality_of_life key tab.,no,numeric,,Values calculated by CRO.,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv D_QOL_MYSE,one,,,not applicable,not applicable,not applicable,,
1,administered_agent,primary,commpass,agent_id,Unique identifier for the administered_agent table. ,no,string,example: ,"This is a composite primary key based on a combination of public_id, project_id, diagnosis, line, agent_count_line",,,derived,one,,not null,,,,,
2,administered_agent,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable ,one,,not null,submitter_id,not applicable,yes,,
3,administered_agent,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,project table,one,"MMRF created for this dataset 
",not null,project_id,not applicable,no,,
4,administered_agent,no,commpass,cancer_diagnosis,The cancer diagnosis related tto the therapeutic agent. ,no,integer,10,"As CoMMpass exclusively collected data on the treatments a subject received for the active multiple myeloma diagnosis, all rows have ""10"" as the value. ",not applicable,not applicable,Applied for CoMMpass,one,,not null,,,,,
5,administered_agent,no,commpass,line,The line of therapy received by the patient for a given cancer diagnosis detailed in the cancer table. ,no,integer,1 --16,,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_TYPE,one,,,,,,,
6,administered_agent,no,commpass,agent_count,The count of agents contributing to the line of therapy.,no,enum,,,not applicable,not applicable,applied based on # rows per subject,one,,,,,,,
7,administered_agent,no,commpass,regimen_intent,"The type of agent, which may include the mechanism of action.",no,string,,Data was collected as free text from institution with multiple values.,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_ISTHISLINEOFT_1,one,,,,,,,
8,administered_agent,no,commpass,agent,The name of the agent consistent with the NCIt.,no,enum,,,not applicable,NCIt - see agents_regiment NCIt tab,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_THERAPY,one,,,,,,,
9,administered_agent,no,commpass,agent_category,"The type of agent, which may include the mechanism of action.",no,enum,"anti-viral
antibiotic
bcl2
bcma
braf
btk
cd20
cd38
cd46
cd47
cd52
cd74
cdk
cells
checkpoint_inhibitor
chemo
dhodh
drd2 clpp
gls1
gprc5d
hdac
her2
imid
jak
ksp
mdm2
mek
nedd8
not_specified
p97
proteasome-inhibitor
slamf7
stem_cell_mobilizer
steroid
tigit
vaccine
vgfr2
xpo1",,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_THERAPY,one,,,,,,,
10,administered_agent,no,commpass,agent_as_investigational,Flag from the institution that the agent was administered as an investigational agent.,no,enum,"yes
null",,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_ENTERCLINICAL,one,,,,,,,
11,administered_agent,no,commpass,days_to_agent_start,The number of days from the index date to the start date of the agent.,no,integer,,,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_STARTDATE,one,,,,,,,
12,administered_agent,no,commpass,year_of_agent_start,"Year component of the date that the n this line. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_STARTDATE,one,,,,,,,
14,administered_agent,no,commpass,days_to_agent_start,The number of days from the index date to the end date of the agent.,no,integer,,,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_STOPDATE,one,,,,,,,
15,administered_agent,no,commpass,year_of_agent_end,"Year component of the date that the agent was last administered in this line. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_STOPDATE,one,,,,,,,
17,administered_agent,no,commpass,agent_duration,The length of time that an individual is exposed to the agent within the line of therapy.,no,numeric,,,not applicable,not applicable,calculated,one,,,,,,,
18,administered_agent,no,commpass,regimen_reason_for_discontinuation,Harmonized reason the drug was discontinued.,no,enum,"admission
adverse-event_comorbidity_toxicity
bridge
death
disease_progression_relapse
done in attempt to prolong patient survival
induction
insurance
lack_of_response
lack_of_response hospice
lost_to_followup
md_investigator_decision
mm_labs
noncompliant
not_reported
not_tolerating_therapy
other_cancer
other_condition
palliative_care_hospice
patient_decision
planned_therapy
pt became to ill
response
response transplant
stem_cell_mobilization_collection
taspe
transplant
treatment_modification",,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_REASONFORTREA,one,,,,,,,
19,administered_agent,no,commpass,agent_dose,Numeric dose of the agent.,no,numeric,,,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_DOSE_1 ,one,,,,,,,
21,administered_agent,no,commpass,agent_route,Route of administration. Data was collected as free text from institution with multiple values.,no,string,,Data was collected as free text from institution with multiple values.,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_ROUTE,one,,,,,,,
22,administered_agent,no,commpass,agent_frequency,Frequency that the dose was administered over the course of a cycle. Data was collected as free text from institution with multiple values.,no,string,,Data was collected as free text from institution with multiple values.,not applicable,not applicable,Subcohort One: Table: TREATMENT_REGIMEN.csv | Variable MMTX_FREQUENCY_1,one,,,,,,,
1,administered_sc_transplant,primary,commpass,sct_id,Unique identifier for the table.,no,string,example: mmrf_0001-mmrf_commpass-sct-10-1,"This is a composite primary key based on a combination of public_id, project_id, diagnosis, line, sct_count.",,,,"one, two",,not null,not_applicable,not_applicable,not_applicable,,
2,administered_sc_transplant,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,not applicable,,"one, two",,not null,not_applicable,not_applicable,not_applicable,,
3,administered_sc_transplant,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,Applied for CoMMpass,"one, two","MMRF created for this dataset 
",not null,not_applicable,not_applicable,not_applicable,,
4,administered_sc_transplant,no,no,cancer_diagnosis,The cancer diagnosis related to which the therapeutic agent is targeted. ,no,integer,10,"As CoMMpass exclusively collected data on the treatments a subject received for the active multiple myeloma diagnosis, all rows have ""10"" as the value. ",not applicable,not applicable,Applied for CoMMpass,"one, two",,not null,not_applicable,not_applicable,not_applicable,,
5,administered_sc_transplant,no,no,sct_count,"The count, based on date with the earliest transplant receiving ""1""  of transplants  received by a the subject.",no,integer,,,not applicable,not applicable,"Subcohort One: Table: BONE_MARROW_TX
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021","one, two",,not null,not_applicable,not_applicable,not_applicable,,
7,administered_sc_transplant,no,no,year_of_sct,"Year component of the date of the stem cell transplant. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,,not applicable,not applicable,"Subcohort One: Table: BONE_MARROW_TX
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021","one, two",,,not_applicable,not_applicable,not_applicable,,
9,administered_sc_transplant,no,no,type_of_sct,Additional specificity for the allo transplants,no,enum,"auto_transplant
auto_stem_cell_transplant
allo_stem_cell_transplant_transplant_relative
allo_stem_cell_transplant_transplant_synogenic
allo_stem_cell_transplant_transplant_unrelated
",,not applicable,not applicable,"Subcohort One: Table: BONE_MARROW_TX
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021","one, two",,,not_applicable,not_applicable,not_applicable,,
1,regimen_line,primary,commpass,regline_id,Unique identifier for the table. ,no,string,example: ,"This is a composite primary key based on a combination of public_id, project_id, diagnosis, line, agent_count_line",,,derived,"one, two",,,not_applicable,not_applicable,not_applicable,,
2,regimen_line,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,not applicable,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
3,regimen_line,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,applied,"one, two","MMRF created for this dataset 
",,not_applicable,not_applicable,not_applicable,,
4,regimen_line,no,no,cancer_diagnosis,The cancer diagnosis related tto the therapeutic regimen. ,no,integer,10,"As CoMMpass exclusively collected data on the treatments a subject received for the active multiple myeloma diagnosis, all rows have ""10"" as the value. ",,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
5,regimen_line,no,no,line,The line of therapy. It is important to note that multiple regimens may create one line.,no,integer,1 --16,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
6,regimen_line,no,no,first_line,The first regimen received by the patient for the treatment of this cancer.,no,string,,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
7,,no,no,regimen_type,Category of regimen as applied by the institutions.,no,string,,,NCIt - see agents_regiment NCIt tab,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
8,regimen_line,no,no,regimen_name,"The concatenated names of the drugs in the regimen; these are ordered alphabetically, though the steroids are last in the list. The drug names and regimen names are consistent with NCIt.",no,string,,,NCIt - see agents_regiment NCIt tab,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
9,regimen_line,no,no,regimen_short_name,Abbreviated drug names.,no,string,,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
10,regimen_line,no,no,regimen_categories,"The concatenated list of the type of agents within the regimen, which may include the mechanism of action.",no,string,,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
11,regimen_line,no,no,days_to_regimen_start,The number of days from the index date to the start date of the regimen.,no,integer,,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
12,regimen_line,,,year_of_regiment_start_date,"Year component of the date that the regimen was first administered in this line. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
13,regimen_line,no,no,days_to_regimen_end,The number of days from the index date to the end date of the regimen.,no,integer,,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
14,regimen_line,,,year_of_regimen_end_date,"Year component of the date that the regimen was last administered in this line. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
16,regimen_line,no,no,regimen_duration,The length of time of the regimen/regimen component.,no,integer,,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
17,regimen_line,no,no,reason_for_discontinuation,Harmonized reason that the regimen was discontinued.,no,string,,,,,"Subcohort One and Two: Table: .csv  
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv ","one, two",,,not_applicable,not_applicable,not_applicable,,
1,administered_line,primary,commpass,line_id,Unique identifier for the table. ,no,string,,,,,,"one, two",,not null,,,,,
2,administered_line,foreign,commpass,public_id,MMRF subject identifier,no,string,,,not applicable,not applicable,D_PT,"one, two",,not null,submitter_id,not applicable,yes,,
3,administered_line,foreign,commpass,regline_id,Primary key for administered_regimen_line table,no,string,,,,,,,,,,,,,
4,administered_line,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,,,not applicable,not applicable,project table,"one, two","MMRF created for this dataset 
",not null,project_id,not applicable,no,,
5,administered_line,no,commpass,cancer_diagnosis,The cancer diagnosis related to the therapeutic line of therapy. ,no,integer,10,"As CoMMpass exclusively collected data on the treatments a subject received for the active multiple myeloma diagnosis, all rows have ""10"" as the value. ",,,Applied for CoMMpass,"one, two",,not null,,,,,
6,administered_line,no,commpass,line,The line of therapy of a given patient.,no,integer 2 digit,,,,,,"one, two",,,,,,,
7,administered_line,no,commpass,days_to_line_start,"Year component of the date that the regimen was first administered in this line. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,,,,,"one, two",,,,,,,
8,administered_line,no,commpass,year_of_line_start,The first day that the first drug in the combination was adminstered.,no,date,,,,,,"one, two",,,,,,,
9,administered_line,no,commpass,date_of_line_start,The number of days from the index date to the end date of the regimen.,no,integer,,,,NCIt - see agents_regiment NCIt tab,,"one, two",,,,,,,
10,administered_line,no,commpass,days_to_line_end,"Year component of the date that the regimen was last administered in this line. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,,,NCIt - see agents_regiment NCIt tab,,"one, two",,,,,,,
11,administered_line,no,commpass,year_of_line_end,The last day that the last drug in the combination was administered.,no,date,,,,,,"one, two",,,,,,,
12,administered_line,no,commpass,date_of_line_end,The length of time of the regimen/regimen component.,no,integer,,,,,,"one, two",,,,,,,
13,administered_line,no,commpass,line_duration,The number of days from the index date to the start date of the regimen.,no,integer,,,,,,"one, two",,,,,,,
1,supportive_care,primary,commpass,sc_id,"Combination id based on public_id, project_id, and supportive care count to provide a unique value for each row in the table.",no,string,,"The identifier is a combination of public_id, project_id, diagnosis, visit_count.",not applicable,not applicable,Derived for project,one,,not null,not applicable,not applicable,not applicable,,
